Algorithm,Length,Time,Rounds,Time / Round
DFT_1,4,0.006993532,1000,6.99353E-06
DFT_1,16,0.085994482,1000,8.59945E-05
DFT_1,64,1.158879042,1000,0.001158879
DFT_1,256,17.74291039,1000,0.01774291
DFT_1,1024,29.18101335,100,0.291810133
DFT_1,4096,4.64153409,1,4.64153409
DFT_1,16384,71.9652791,1,71.9652791
DFT_1,65536,1219.064694,1,1219.064694
DFT_1,262144,42343.2076,1,42343.2076
DFT_1_OPT,4,1.460265636,1,1.460265636
DFT_1_OPT,16,53.03204298,100,0.53032043
DFT_1_OPT,64,46.54070997,100,0.4654071
DFT_1_OPT,256,46.44240761,100,0.464424076
DFT_1_OPT,1024,58.53805709,100,0.585380571
DFT_1_OPT,4096,1.351588249,100,0.013515882
DFT_1_OPT,16384,16.52884936,1,16.52884936
DFT_1_OPT,65536,387.9387946,1,387.9387946
DFT_1_OPT,262144,6371.492014,1,6371.492014
DFT_2,4,0.019989729,1000,1.99897E-05
DFT_2,16,0.029007912,1000,2.90079E-05
DFT_2,64,0.445992708,1000,0.000445993
DFT_2,256,4.722993612,1000,0.004722994
DFT_2,1024,58.40392423,1000,0.058403924
DFT_2,4096,OOM,-,#VALUE!
DFT_2,16384,OOM,-,#VALUE!
DFT_2,65536,OOM,-,#VALUE!
DFT_2,262144,OOM,-,#VALUE!
DFT_3,4,0.003996611,1000,3.99661E-06
DFT_3,16,0.005002975,1000,5.00298E-06
DFT_3,64,0.004996538,1000,4.99654E-06
DFT_3,256,0.005002022,1000,5.00202E-06
DFT_3,1024,0.012001276,1000,1.20013E-05
DFT_3,4096,0.036994457,1000,3.69945E-05
DFT_3,16384,0.156003952,1000,0.000156004
DFT_3,65536,2.827717543,1000,0.002827718
DFT_3,262144,17.43488407,1000,0.017434884
DFT_4,4,0.126018047,1000,0.000126018
DFT_4,16,0.143005371,1000,0.000143005
DFT_4,64,0.126017332,1000,0.000126017
DFT_4,256,0.14410305,1000,0.000144103
DFT_4,1024,0.182998419,1000,0.000182998
DFT_4,4096,0.298996449,1000,0.000298996
DFT_4,16384,0.244372606,1000,0.000244373
DFT_4,65536,0.306001902,1000,0.000306002
DFT_4,262144,0.668910027,1000,0.00066891
